OR_number;image_url;im_description
1;http://dummyimage.com/142x100.png/ff4444/ffffff;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
2;http://dummyimage.com/172x100.png/dddddd/000000;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
3;http://dummyimage.com/128x100.png/5fa2dd/ffffff;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
4;http://dummyimage.com/101x100.png/ff4444/ffffff;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
5;http://dummyimage.com/131x100.png/ff4444/ffffff;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
6;http://dummyimage.com/148x100.png/cc0000/ffffff;Αποστειρωμένο περιβάλλον μέγιστης προστασίας.
7;http://dummyimage.com/175x100.png/dddddd/000000;Αποστειρωμένο περιβάλλον μέγιστης προστασίας.
8;http://dummyimage.com/162x100.png/cc0000/ffffff;Τεχνολογία αιχμής για επεμβάσεις ακρίβειας.
9;http://dummyimage.com/249x100.png/5fa2dd/ffffff;Αποστειρωμένο περιβάλλον μέγιστης προστασίας.
10;http://dummyimage.com/113x100.png/dddddd/000000;Εξειδικευμένο προσωπικό και κορυφαίος εξοπλισμός.
